,,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
300003.SZ,乐普医疗,北京,医疗保健,20091030,-34.1319,92.2175,41.5702,35.5481,32.3633,30.4028,23.086,-9.79,39.71,18.21,23.06,28.6,30.3,25.12,-11.2627,30.8058,22.6425,40.0794,30.8527,25.2475,65.9269,73.6937,73.7546,72.2252,72.7484,67.2316,60.9504,55.3246,23.3602,30.803,22.1126,19.7422,21.8986,21.5329,21.5259,4.97,8.88,25.03,19.13,15.17,14.7,15.62
300006.SZ,莱美药业,重庆,化学制药,20091030,-139.0095,-54.317,-258.3601,76.3872,695.8788,-66.1313,122.1485,-169.76,11.41,-537.62,-8.47,454.7096,-195.93,73.52,-20.516,-4.3065,18.9868,21.8628,29.4738,2.7222,5.722,71.5214,65.6069,71.7625,60.7962,48.8425,41.8187,37.0738,-5.542,7.0591,-8.6816,5.8331,3.5929,0.1266,2.116,-0.52,1.22,-9.63,5.63,3.36,0.41,2.01
300009.SZ,安科生物,安徽,生物制药,20091030,22.6818,11.4123,-52.7054,-5.2462,40.7697,44.8044,24.0354,13.0,11.74,-61.16,7.86,36.78,39.49,22.94,-9.2055,24.1577,17.1721,33.3205,29.0917,33.576,17.2102,79.7202,79.3041,78.0317,80.0782,77.7206,74.1869,71.4953,25.9256,18.3216,6.4465,18.1145,25.7038,23.3006,20.8305,3.05,3.4,5.2,14.95,19.02,15.51,17.14
300015.SZ,爱尔眼科,湖南,医疗保健,20091030,-73.4139,37.8386,36.6706,35.8812,33.3082,30.236,38.4421,-90.5,30.15,32.42,39.12,41.87,18.86,45.58,-26.8646,28.5048,24.7426,34.3079,49.0562,26.3718,31.7867,29.8831,45.4394,49.3043,46.9967,46.2828,46.1102,46.5924,4.0833,13.9653,14.3258,13.3089,13.295,14.1764,13.7915,1.19,5.11,22.51,18.55,21.74,21.84,19.66
300016.SZ,北陆药业,北京,中成药,20091030,-33.9728,41.0763,131.7501,24.3612,625.3993,-49.7242,-62.4529,-29.34,38.02,23.39,31.94,22.02,181.3,-64.69,-27.0822,41.6425,34.7117,16.3654,4.7463,1.5118,11.6938,66.984,67.8756,68.8977,67.0381,65.13,69.0388,73.3174,20.1782,23.5171,41.8057,24.3008,22.7384,3.1081,6.291,1.83,3.31,25.96,13.02,12.3,1.85,4.98
300026.SZ,红日药业,天津,中成药,20091030,-37.6496,5.134,90.9575,-53.2324,-31.5554,23.1123,19.6618,-42.86,7.31,125.81,-57.46,-34.96,23.16,19.32,7.8706,8.2339,18.4418,25.1909,-12.7488,15.4937,16.9262,60.1337,70.4947,67.8207,71.006,72.5111,75.4004,82.7156,9.5181,16.8917,8.1639,5.1116,13.2544,17.0952,16.0154,1.6,2.7,6.12,3.29,7.38,11.84,20.37
300030.SZ,阳普医疗,广东,医疗保健,20091225,143.3464,29.2655,119.0234,-1325.9876,-63.3878,-23.4912,-24.9203,379.67,-2177.98,101.67,-4703.39,-84.64,-37.8,-18.56,32.809,-10.5027,4.5636,0.0565,6.2946,-5.1794,18.094,47.0915,42.7899,43.399,40.6517,44.6675,46.5364,43.4251,7.5042,4.0728,4.5453,-25.6366,1.5001,5.8973,7.5699,1.3,0.55,3.16,-15.51,1.17,3.27,5.09
300039.SZ,上海凯宝,上海,中成药,20100108,-26.4146,-28.0693,10.6582,-16.7064,-3.6454,0.3403,-19.9683,-27.6,-32.62,2.46,-8.28,-9.87,8.42,-22.2,-26.6285,-23.1929,-5.4409,-4.4104,4.8602,7.262,-13.885,82.1888,81.7705,82.2969,82.4312,81.4111,81.2487,82.0629,17.9558,17.9036,17.6872,15.114,17.3452,18.8763,20.1785,2.03,2.83,9.76,9.39,11.79,13.48,14.25
300049.SZ,福瑞股份,内蒙,医疗保健,20100120,58.4547,-34.1151,22.5032,-42.0492,-40.6294,32.0255,5.1011,63.42,-34.36,-20.76,-36.83,-38.82,26.88,27.75,17.4676,-0.43,-4.0702,5.3075,2.7434,36.8751,-6.4021,74.014,71.8489,71.9037,69.9914,74.2486,72.0816,67.3867,10.0814,7.4916,12.0382,5.2103,11.047,17.9122,15.733,0.8,0.5,3.27,2.36,4.82,8.65,8.29
300086.SZ,康芝药业,海南,化学制药,20100526,-142.2781,6.3559,-297.984,-75.933,8.7534,-32.3189,10.0152,-145.11,51.94,-443.46,-125.41,3.0,-36.73,-29.71,-35.9816,41.9718,14.2382,32.1203,1.9847,15.0619,0.2983,44.5414,47.2709,48.2735,44.6613,42.4897,41.5401,49.8721,-8.4917,11.4238,-2.9707,2.3812,9.9898,8.2036,16.3484,-0.77,1.74,-1.77,0.78,2.75,2.57,3.9
300108.SZ,吉药控股,吉林,中成药,20100825,-241.0424,-18.7196,-917.7754,7.0116,8.6406,37.3928,139.2183,-910.18,-55.27,-3590.13,-54.49,-26.71,13.64,151.43,-52.8869,118.3076,13.1128,34.523,-6.1708,10.0389,97.633,19.4316,21.9671,27.1748,32.4896,38.1217,38.9685,36.587,-29.5497,9.5478,-166.8239,23.2857,29.5077,25.4351,20.3872,-10.44,1.31,-133.26,10.43,10.86,10.91,8.65
300110.SZ,华仁药业,山东,化学制药,20100825,19.5144,116.594,8.4325,3.3563,56.7471,4.4024,-59.1543,-60.05,115.71,28.31,-21.43,52.35,42.43,-65.03,-27.7488,3.0268,5.6423,5.4871,5.0364,12.9376,20.6307,52.2246,56.6866,56.6308,57.6184,53.4425,44.8102,44.8798,2.4208,1.6305,3.0891,2.707,2.9761,1.794,2.0053,0.09,0.22,1.93,1.89,2.54,1.65,1.57
300122.SZ,智飞生物,重庆,生物制药,20100928,2.8477,93.3757,63.049,235.7504,1229.2474,-83.5258,33.3761,-1.47,102.79,63.7,237.12,1500.82,-85.68,29.97,14.8706,173.5846,102.4999,289.4257,201.06,-37.4318,-11.012,37.0863,39.876,42.0456,54.7668,78.544,92.1025,80.1099,19.5993,21.8905,22.3516,27.7598,32.1976,7.2924,27.6963,8.6,11.33,47.67,40.78,15.85,1.3,7.94
300142.SZ,沃森生物,云南,生物制药,20101112,-146.7757,68.7997,-86.4296,294.7741,-862.3437,108.379,-686.2975,-153.41,2144.1,6.07,157.88,-43.18,64.73,6.8,-36.3357,49.7195,27.5499,31.5414,13.0727,-41.2536,39.9162,65.1948,76.0883,79.7454,80.3946,67.7757,52.5015,42.854,-16.0555,27.802,17.3147,120.8916,-83.5362,5.0796,-91.9113,-0.37,0.87,3.01,26.99,-18.13,2.85,-33.62
300143.SZ,盈康生命,广东,医疗保健,20101209,-1452.4159,-97.5733,-1502.1503,-59.0129,122.2135,420.7762,103.6064,-1227.16,-97.13,-1594.95,-37.08,83.42,740.74,97.83,-5.8884,-25.5309,13.6724,53.0921,-23.8695,54.3722,-8.9998,26.3696,36.7781,40.0394,45.45,56.8972,40.2267,31.1975,-12.3609,2.763,-120.8566,14.1006,42.0675,11.1561,5.4055,-0.88,0.04,-41.63,2.25,5.22,3.16,3.39
300146.SZ,汤臣倍健,广东,医疗保健,20101215,7.4627,33.6942,-135.5114,30.7899,43.1687,-15.7805,26.443,7.48,32.65,-147.11,41.89,35.35,-21.89,29.54,-4.8391,47.169,20.9393,39.8606,34.7182,1.9006,32.9073,67.3761,67.2239,65.7779,67.6627,67.0777,64.3987,66.2755,35.7,30.168,-7.8879,20.8798,24.6498,21.9848,27.3755,8.67,8.63,-6.5,19.0,15.8,11.76,15.69
300147.SZ,香雪制药,广东,中成药,20101215,161.1283,18.8741,50.7753,-14.407,-0.1287,-62.7609,-9.9078,775.65,43.2,60.65,69.71,-1069.45,-89.35,-19.65,22.1881,11.4117,11.2587,14.4897,17.4659,27.1393,-3.8961,37.9846,34.7093,31.613,36.4636,29.4996,31.581,42.7092,10.2519,6.6653,4.8336,3.5129,5.1261,5.2434,13.768,2.28,0.89,2.45,1.64,1.92,1.94,6.9
300149.SZ,量子生物,广东,生物制药,20101222,-155.4081,134.7929,-13.7542,178.6345,-11.0364,9.2679,46.1275,-181.62,175.95,-20.53,207.32,-14.4,5.75,32.21,-6.3057,276.7937,33.1935,262.0491,6.4603,-18.8299,13.3295,24.4516,37.5717,38.1835,42.8326,45.6177,50.5106,48.9715,-5.1127,8.4204,10.2368,16.0425,20.4368,25.1025,19.0511,-0.62,1.16,6.2,10.75,7.33,8.74,8.52
300158.SZ,振东制药,山西,化学制药,20110107,18.6779,1.5929,196.8246,-148.8979,48.4931,214.1159,54.0727,22.92,-5.16,170.94,-166.28,50.77,328.07,106.38,5.1612,16.3185,28.6279,-8.3571,13.6644,45.1311,17.849,60.3627,62.3233,64.7875,65.5572,57.991,44.4074,45.6593,6.3772,5.5094,3.1154,-4.4017,7.7843,5.8828,2.4387,1.12,0.96,2.63,-2.58,5.6,6.26,3.27
300171.SZ,东富龙,上海,医疗保健,20110201,195.982,-26.6628,106.9535,-42.7628,-47.5088,-39.3534,15.2869,235.81,-34.02,266.87,-71.28,-57.71,-46.77,16.09,14.7241,-4.955,18.1124,11.1279,29.9015,-14.6391,23.585,35.8216,34.9718,33.1054,30.7487,34.5721,41.7665,44.3806,8.6446,2.7192,6.6165,4.5475,7.8843,18.3238,25.4079,1.48,0.53,4.72,2.34,4.16,8.12,14.11
300181.SZ,佐力药业,浙江,中成药,20110222,0.9152,20.8165,23.3285,-54.0283,-37.3229,-15.0432,-17.8431,-0.33,92.29,404.73,-116.75,-41.63,-24.5,-22.78,-5.0184,19.9293,24.7721,-8.0171,-5.491,25.2186,30.2822,67.7031,63.1699,65.7829,62.3807,55.3931,59.5165,68.6459,5.8108,5.3826,2.6224,3.5859,6.698,9.7582,13.9577,0.83,0.81,1.94,1.55,3.38,5.54,7.64
300194.SZ,福安药业,重庆,化学制药,20110322,-7.6955,-16.4766,181.3469,-226.3897,28.319,242.0037,41.9891,-11.99,-13.91,167.73,-245.75,21.99,275.17,30.1,-21.2268,-4.7806,4.1751,27.6682,61.2012,83.1696,57.8564,64.3864,64.0444,63.7365,61.6744,56.4085,46.9213,44.1993,11.9648,10.1977,10.538,-13.4842,13.6214,17.1259,9.2581,1.7,1.99,7.62,-9.18,7.02,7.72,3.33
300199.SZ,翰宇药业,深圳,化学制药,20110407,-56.9314,-47.0147,-159.632,-203.3537,12.9474,-4.3942,77.978,-50.9,-49.4,-157.15,-212.32,20.28,-10.81,75.94,-0.5267,-28.2181,-51.426,1.4613,45.7501,11.2961,83.1693,79.1568,86.9061,79.5305,85.5646,84.2093,80.1846,80.898,11.6827,26.9952,-144.058,-26.9509,26.4574,34.1413,39.7444,1.0,1.53,-31.95,-9.39,8.77,9.85,12.73
300204.SZ,舒泰神,北京,生物制药,20110415,-188.5669,-49.7431,-79.6362,-49.0324,2.2358,21.8865,8.0899,-223.59,-49.41,-88.62,-54.21,2.12,24.04,24.21,-68.1897,-36.8509,-17.9373,-41.9203,-1.0996,12.455,14.1709,81.4475,88.5397,87.7737,90.7199,94.455,94.9706,94.5725,-45.0754,16.1896,4.127,16.6309,18.7583,18.1621,16.7816,-1.53,1.13,1.36,5.8,12.87,14.66,13.41
300206.SZ,理邦仪器,深圳,医疗保健,20110421,120.9886,43.9408,42.3027,111.7006,66.0813,-74.4667,668.3386,140.23,325.73,197.6,367.91,-71.3,211.19,-721.31,33.2886,15.6012,14.4576,17.7215,20.8121,26.879,5.2337,58.1403,56.775,55.943,54.5988,55.5706,54.8199,52.7674,22.2772,13.2613,11.2095,8.6846,4.4979,2.7887,18.3592,6.2,2.91,10.42,7.4,3.61,2.25,8.59
300233.SZ,金城医药,山东,化学制药,20110622,3.0173,35.4338,-22.9582,-7.8381,79.6246,-6.7769,57.2917,4.53,35.73,-74.25,-10.38,96.64,-13.23,52.04,2.5694,-23.3409,-7.0861,7.8884,96.2874,20.5187,12.1552,52.2725,55.6508,58.4699,50.0659,35.6808,27.8563,35.2656,15.612,15.6431,7.6574,9.3855,10.4107,11.0004,14.3569,2.45,2.43,5.47,6.54,8.46,11.72,14.19
300238.SZ,冠昊生物,广东,医疗保健,20110706,17.3824,158.1177,-1117.1914,0.4907,0.9119,3.1642,26.4712,7656.71,-156.03,-2906.88,-37.28,29.03,-8.15,24.05,-12.9879,27.0938,-4.4879,-0.4635,43.984,38.2969,18.8151,72.1662,71.4593,67.6989,72.5249,73.2638,78.1281,81.9172,11.162,6.4957,-112.073,7.659,10.5966,20.0711,27.6237,1.61,0.85,-49.85,3.85,3.98,8.21,11.44
300239.SZ,东宝生物,内蒙,生物制药,20110706,-53.9089,10.5164,4.7973,51.5712,16.5896,226.4569,20.4884,-51.86,-8.09,-14.44,60.32,53.76,456.37,-6.68,-20.5641,14.4366,8.6298,27.0892,12.5241,8.4538,16.2763,19.0701,19.3682,19.0024,21.9452,21.2674,20.4874,19.0679,3.8988,6.7194,7.2399,7.5046,6.2925,6.0731,2.0176,0.35,1.01,3.85,4.61,3.1,2.7,1.47
300244.SZ,迪安诊断,浙江,医疗保健,20110719,-90.8349,15.5557,-10.6345,11.1602,33.046,50.3254,40.3022,-96.89,15.38,-17.51,49.53,-10.46,52.16,38.01,-16.4989,51.7957,21.3346,39.2223,30.8617,105.7916,39.1791,28.984,31.018,32.1512,34.0434,33.4122,31.4945,33.62,1.9073,6.5121,6.8089,8.4466,9.2742,8.8377,9.6215,0.17,1.95,9.04,15.55,15.97,13.63,21.31
300246.SZ,宝莱特,广东,医疗保健,20110719,151.9383,-14.3162,0.809,11.549,-14.2921,180.712,-29.2369,182.12,-16.31,10.96,11.14,-19.81,279.74,-48.94,16.9261,2.703,1.5461,14.3242,19.7132,56.1908,31.6658,43.9934,36.7537,39.7711,37.224,37.3271,40.4902,39.3106,19.3521,9.4591,8.8441,9.6187,9.9392,13.2426,7.6981,7.16,2.83,11.02,12.02,11.75,14.66,5.71
300247.SZ,融捷健康,安徽,医疗保健,20110729,24.3346,-181.0884,8.4524,-1255.2084,-20.9336,86.4036,110.1546,27.38,-193.72,2.18,-1020.04,27.1457,87.6642,105.88,-37.9456,-29.912,-31.3351,-12.7004,103.0414,39.8579,51.0692,23.2207,19.5073,14.9648,24.3999,28.9733,36.4995,40.8764,-11.6055,-11.9195,-98.8736,-74.2396,5.3909,12.5667,9.6207,-1.77,-1.33,-58.3,-40.1,2.19,3.36,4.74
300254.SZ,仟源医药,山西,化学制药,20110819,-319.7488,171.4695,-26.8509,-66.59,-28.1092,31.6492,-44.1429,-3741.29,-71.05,-335.52,-519.64,-47.86,-69.41,-43.0,-40.3965,-6.3226,-0.413,21.0418,25.8487,9.086,4.6324,67.3041,74.2265,75.4973,76.4385,69.1371,66.1712,68.6692,-29.5054,8.2067,-0.157,0.8596,3.2904,5.0343,4.2482,-5.5,2.46,0.65,0.9,2.67,3.79,3.4
300255.SZ,常山药业,河北,生物制药,20110819,-13.8989,24.8482,60.933,-28.9114,12.2128,12.2779,16.873,-6.75,21.59,59.57,-28.87,12.43,15.99,17.76,-13.1654,39.6813,25.3441,16.3694,26.9799,22.0993,12.9058,77.0559,71.3196,73.0939,71.4245,65.4901,64.6907,66.7987,12.1484,12.1576,10.7376,8.0001,14.2457,15.9436,17.1044,1.78,2.23,8.61,5.73,8.56,9.62,10.86
300267.SZ,尔康制药,湖南,化学制药,20110927,-72.2646,-17.3008,-25.4175,-58.5459,-34.3113,31.5547,104.2116,-78.12,-15.68,-44.93,-43.2,-38.18,30.0149,103.0476,-41.4636,53.8501,16.558,-16.7404,4.5111,54.0902,26.8238,23.7235,29.6192,25.9136,35.6817,37.0236,43.5314,51.0912,4.9445,11.1104,5.6481,8.9476,18.2044,28.8878,33.5527,0.41,1.52,2.85,3.95,10.14,22.0,29.02
300273.SZ,和佳医疗,广东,医疗保健,20111026,-152.1059,1.8911,-58.9773,8.6718,3.9049,-15.6802,-52.5658,-168.74,14.27,-80.64,4.19,-31.93,-10.23,-62.63,-57.8915,22.5443,1.8604,7.5736,20.9537,16.2011,-14.9269,52.4232,54.8614,50.3265,51.4651,53.4329,53.7905,61.7411,-20.2974,19.2281,3.6228,9.081,8.7147,10.4569,13.6064,-1.16,2.23,1.65,4.11,3.92,3.89,6.37
300289.SZ,利德曼,北京,生物制药,20120216,-360.5803,-67.6487,-84.4109,-44.6102,4.9083,-55.6998,22.5584,-367.52,-66.64,-84.79,-46.93,14.26,-60.17,19.96,-52.2052,-31.9122,-21.3286,13.6856,7.984,-21.7529,26.9484,46.6012,48.9711,54.6919,49.2918,55.1487,55.1752,57.7683,-24.2585,8.1215,5.429,9.4929,17.5388,17.1787,26.1301,-1.18,0.41,0.48,3.07,5.73,5.73,14.76
300294.SZ,博雅生物,江西,生物制药,20120308,7.51,22.9886,-9.171,31.5732,31.0786,79.2122,45.7086,7.42,27.35,-7.87,31.56,25.66,115.27,25.77,-0.1143,31.8249,18.6621,67.8376,54.292,74.2685,24.073,56.3555,60.0142,61.3438,62.1801,66.3657,63.037,64.1101,15.351,14.1647,15.1997,19.7886,24.9864,29.3213,30.753,2.42,2.43,11.38,14.44,15.8,13.74,16.23
300298.SZ,三诺生物,湖南,医疗保健,20120319,29.6299,-41.1535,-19.2512,20.3419,123.9372,-19.8135,-27.2,37.79,-21.04,-14.98,8.73,134.89,-19.38,-29.5,14.3588,18.0258,14.6852,50.097,29.8007,23.2905,18.4572,66.7449,66.4665,65.1384,63.8197,67.4938,64.0763,65.7647,15.0198,13.2504,14.0975,20.0223,24.9703,14.3868,22.1709,2.37,1.85,9.5,12.94,19.43,9.47,12.42
300314.SZ,戴维医疗,浙江,医疗保健,20120508,49.6793,-34.7164,115.3798,-38.7397,-24.3425,38.3488,-16.1778,77.39,-49.11,274.97,-66.44,-26.63,21.84,-17.36,13.7453,-0.0784,18.6661,-1.187,14.7035,20.7455,-3.4131,51.763,47.5368,53.7692,50.6976,51.4442,53.2498,52.8248,19.0187,14.4528,17.4144,9.5947,15.4763,23.4634,20.4779,1.75,1.22,7.65,3.67,6.17,8.62,6.59
300318.SZ,博晖创新,北京,医疗保健,20120523,-114.1731,-183.4155,-96.3381,78.7298,64.6287,98.6125,-68.8453,-104.73,-186.03,83.48,75.6,-1404.55,32.43,-45.01,3.6603,4.6196,1.0041,40.1888,9.827,50.29,166.2646,41.0477,46.5289,48.3925,50.2108,52.988,53.169,47.7124,-7.4728,-3.2437,0.3225,12.4593,10.6478,11.9165,5.7582,-1.31,-0.54,0.22,4.61,2.7,1.67,1.07
300326.SZ,凯利泰,上海,医疗保健,20120613,-30.7892,48.8809,-34.6414,137.2366,22.7527,31.6564,93.8737,-37.57,61.68,94.06,-20.03,23.54,63.72,55.16,-21.8244,24.4928,31.3008,16.0346,45.7086,18.9489,108.1734,59.4536,65.1583,65.7436,60.3924,62.6345,75.5157,73.0993,22.3142,25.2214,24.7968,49.453,24.1803,29.9914,32.366,1.81,2.86,11.49,20.45,10.09,10.35,10.91
300347.SZ,泰格医药,浙江,医疗保健,20120817,75.2207,51.7218,78.243,56.8645,114.0133,-9.9988,24.5279,3.45,61.26,56.31,48.83,146.05,-32.92,26.37,6.7691,28.6877,21.8481,36.3731,43.6338,22.7316,53.2271,46.2414,44.6827,46.4773,43.107,42.9409,38.0289,44.1224,39.8909,24.9212,34.7918,22.0283,19.6898,13.3483,18.1705,5.83,5.39,23.65,17.52,13.89,9.34,17.23
300357.SZ,我武生物,浙江,生物制药,20140121,-37.4507,27.2996,28.088,25.1366,44.0422,9.6596,18.347,-38.21,32.47,30.85,27.33,36.06,15.18,21.18,-20.1389,29.1305,27.6804,29.869,23.5484,16.8399,11.5212,95.6027,96.4426,96.4257,94.3048,96.3469,96.2974,95.0941,36.4804,47.4161,45.7682,46.3039,48.2664,41.3992,44.1086,3.2,6.28,26.04,26.63,25.55,21.02,21.98
300358.SZ,楚天科技,湖南,医疗保健,20140121,-526.7339,-73.3689,13.489,-74.242,33.5924,-21.9445,-2.2416,-4567.36,-96.12,4.44,-84.54,5.83,-20.7819,-2.91,-36.1232,19.4637,17.415,27.4422,31.3189,0.022,-3.0204,33.8828,31.0023,31.3127,32.8314,38.3881,44.728,43.5412,-10.4604,1.5339,2.4692,2.5332,12.5269,12.2793,15.735,-1.15,0.27,2.05,1.85,6.93,9.08,13.76
300363.SZ,博腾股份,重庆,化学制药,20140129,191.7095,-25.1634,49.0435,15.8624,-37.2334,55.0704,-12.0262,364.32,144.82,124.97,-19.98,-48.16,61.13,-11.07,54.6911,18.9185,30.9264,0.0654,-10.7449,29.9082,3.4392,37.9394,31.7433,37.8405,33.463,36.7449,39.664,32.5588,12.0633,6.54,11.5787,9.4054,7.9806,12.245,10.3441,1.56,0.56,6.25,5.79,8.12,14.3,11.95
300381.SZ,溢多利,广东,生物制药,20140128,203.2612,-257.3552,12.3458,41.137,-29.1828,58.1052,30.308,161.94,-341.44,98.84,-17.29,-37.27,40.09,23.25,17.9389,1.6209,15.8337,17.9358,-0.8713,114.9964,95.5088,36.04,36.1183,35.3855,37.4183,41.2161,39.3291,46.6144,4.2037,-5.5423,8.3221,8.5163,6.9924,9.6079,11.4101,0.76,-0.85,5.63,5.72,4.19,7.07,9.86
300396.SZ,迪瑞医疗,吉林,医疗保健,20140910,-21.0348,39.2277,17.2785,18.1221,33.7685,15.5693,6.8264,-21.8,46.92,19.02,28.42,30.25,10.68,10.69,-26.0561,23.5108,8.0749,7.575,14.3663,33.7316,16.6204,63.2413,64.61,64.4361,65.1088,64.2849,62.6057,58.8011,22.9606,24.031,27.0508,25.7074,24.3324,20.762,21.1427,2.46,3.43,16.07,15.07,14.44,12.01,11.36
300404.SZ,博济医药,广东,医疗保健,20150424,-523.5486,-72.7784,-10.9095,130.2178,-1273.3395,-91.8676,-32.399,-1400.01,-88.24,-52.94,114.74,-443.79,-120.49,-36.35,-42.6539,14.745,30.2377,31.5799,81.2182,-43.02,-11.988,36.3786,41.4222,42.5267,45.6017,27.3928,48.6565,49.5898,-27.3697,1.9252,5.5062,6.5514,-20.4717,2.8061,20.2674,-1.39,0.33,1.58,1.8,-5.84,0.48,7.19
300406.SZ,九强生物,北京,医疗保健,20141030,-78.8538,4.0325,10.3049,10.0728,0.5542,10.8563,16.3323,-72.67,3.47,9.37,5.14,2.07,10.83,18.43,-34.5724,5.5249,8.6135,11.5085,4.0267,17.8737,11.3969,61.0724,69.1954,68.7749,68.7098,72.0402,68.4558,72.136,11.3033,34.9733,39.4415,38.8367,39.3433,40.702,43.2785,0.64,3.48,16.6,18.33,19.06,21.42,22.89
300412.SZ,迦南科技,浙江,医疗保健,20141231,85.5959,24.5686,52.5731,-23.4997,-22.9249,10.8565,20.3267,109.54,10.22,26.24,-19.46,-38.07,17.06,19.85,17.631,-2.0447,21.4958,30.0482,47.4628,38.8074,18.2843,39.2553,44.2327,37.7572,37.7313,41.8812,49.9683,51.302,5.5565,0.2199,8.3892,7.9174,10.7431,19.7552,23.666,0.81,0.44,6.54,4.33,5.74,11.94,13.81
300434.SZ,金石亚药,四川,化学制药,20150424,-61.698,7.0335,-19.3217,28.4584,353.9145,9.178,-27.1767,-64.35,13.88,-22.04,26.38,528.33,7.48,-47.53,-25.2836,6.9262,3.5943,37.8834,333.4664,38.6829,-32.2386,61.237,65.7863,64.4554,65.931,64.0033,34.6287,39.3357,9.3283,18.6838,12.5164,15.7939,16.5801,15.4909,19.9643,0.72,1.93,4.48,5.77,8.44,6.49,7.19
300436.SZ,广生堂,福建,化学制药,20150422,-75.7357,-37.4636,-34.8361,-50.8885,-49.4597,-35.8295,23.5493,-111.94,-57.97,-141.45,-70.77,-53.3,-35.83,21.07,-23.7939,25.3134,3.0979,35.8897,-5.3566,1.2816,21.3998,64.6873,79.6775,77.4872,83.606,86.97,86.9543,87.818,2.9087,7.4315,3.0335,4.1599,11.3349,21.2262,33.5017,0.32,1.37,2.04,3.17,6.43,12.56,27.15
300439.SZ,美康生物,浙江,医疗保健,20150422,130.9949,0.9955,-332.1629,4.9943,20.6758,10.0623,17.1284,-91.42,8.73,-382.94,6.77,28.49,3.57,7.46,-36.2608,5.8274,-0.0534,21.3195,71.0968,54.442,14.2665,33.8253,40.4058,34.3892,34.9383,46.2241,54.0759,58.7176,37.4008,11.7012,-18.4023,7.9321,12.4693,17.8285,23.3425,11.68,3.76,-34.75,12.91,13.84,13.04,16.63
300452.SZ,山河药辅,安徽,化学制药,20150515,22.5988,22.8948,20.3411,39.2836,3.1775,10.1927,26.7388,22.57,31.68,22.55,49.0,-5.67,11.08,28.81,8.4956,6.2687,8.2861,26.2842,18.4898,10.6149,8.1562,34.6006,34.6907,36.5341,33.9162,30.9162,33.803,34.6444,19.4384,17.6881,19.4308,18.0136,15.5834,17.0339,17.0991,4.44,3.87,16.47,15.01,11.96,12.74,15.73
300453.SZ,三鑫医疗,江西,医疗保健,20150515,141.7314,-24.5659,49.914,-2.9344,15.7743,-29.4208,6.7078,136.56,-28.95,49.08,-3.39,0.63,-16.78,0.21,27.4459,13.1894,35.83,31.5522,27.0939,1.9004,-3.2142,35.0758,26.8839,34.3988,29.959,30.8832,33.3911,34.7671,7.9278,3.6684,9.2199,7.6991,10.4895,11.522,16.6351,1.98,0.83,9.72,6.98,7.54,6.8,12.65
300463.SZ,迈克生物,四川,医疗保健,20150528,-36.2125,18.0164,18.0555,18.9228,19.9054,24.2903,10.9777,-34.19,19.95,18.97,19.4,28.51,16.81,4.39,-28.1799,39.2114,20.022,36.311,32.3219,39.7694,13.9406,49.922,51.8365,51.8161,51.8013,53.7548,54.0962,56.9647,14.9712,17.8942,17.5517,17.9838,20.7333,22.0912,23.5608,2.39,4.3,18.03,16.61,15.59,14.68,17.18
300482.SZ,万孚生物,广东,医疗保健,20150630,34.8228,31.5021,25.9036,46.0616,45.3202,15.6641,27.4363,38.74,40.17,38.28,49.6,45.83,20.17,34.9,21.9216,27.6208,25.5907,44.049,109.277,27.6537,17.3466,67.3915,61.5462,65.2075,60.9854,61.2005,68.4927,66.7709,17.6321,17.0702,20.6096,21.0044,19.6482,26.5837,29.2345,4.3,3.68,18.68,19.29,22.57,18.79,24.4
300485.SZ,赛升药业,北京,生物制药,20150626,-43.1862,-25.1925,-47.4972,0.5337,8.9774,23.4773,3.3087,-47.08,-31.11,-50.8,-0.46,10.09,14.7,3.97,-14.3201,-27.8294,-16.5889,90.3701,21.704,1.4989,2.9316,83.3595,85.0881,85.1546,86.275,76.5376,67.0109,60.7546,14.6202,22.9254,12.3901,19.8327,37.5382,41.9232,34.4615,0.95,1.74,5.72,11.66,12.79,13.04,16.75
300497.SZ,富祥药业,江西,化学制药,20151222,56.8763,-13.5371,57.0603,9.673,2.0936,85.7972,75.1489,95.4,-29.27,53.21,15.68,4.95,73.69,80.78,24.392,-3.2513,16.3837,21.4249,25.4638,31.7285,13.5133,41.8467,35.3804,43.1082,37.2532,38.1974,42.7499,35.4743,22.9057,18.1609,22.6639,16.534,18.2097,22.5904,16.1454,5.35,4.86,23.84,18.88,21.13,25.94,29.65
300519.SZ,新光药业,浙江,中成药,20160624,-16.1699,-1.1623,6.7105,-17.1097,-10.7596,0.147,12.4302,-15.49,-2.54,11.1,-19.57,-10.72,-4.44,12.8489,-16.8114,0.8721,5.4314,-11.1327,-1.4108,1.2314,6.6307,57.2236,57.0907,54.6529,54.9404,60.2007,65.2612,65.8219,38.5807,38.2855,32.2392,31.8528,34.1496,37.7271,38.1356,3.36,4.23,12.16,12.12,15.71,25.05,44.38
